Id;Designator;Footprint;Quantidade;Comment
1;C104,C701;C_0805_2012Metric;2;10nF
2;J2,J3,J1;TerminalBlock_Altech_AK300-2_P5.00mm;3;Screw_Terminal_01x02
3;C102,C103;C_0805_2012Metric;2;47pF
4;C602,C601;CAPC1608X90;2;CC0603CRNPO9BN6R8
5;C502,C501;CP_Radial_D13.0mm_P5.00mm;2;1000uF
6;C505,C506;C_1206_3216Metric;2;100nF
7;JUSB1;USB_Micro-B_Amphenol_10103594-0001LF_Horizontal;1;USB_B_Micro
8;R603,R605,R101,R604;R_2512_6332Metric_Pad1.40x3.35mm_HandSolder;4;1M
9;C801,C105,C810,C809,C202,C806,C702,C802,C808,C804,C807,C803,C301,C805;C_0805_2012Metric;14;100nF
10;D1,D2;D_DO-41_SOD81_P10.16mm_Horizontal;2;1N4741A
11;FB101;R_0805_2012Metric;1;FerriteBead_Small
12;U1;SOT-23-6;1;USBLC6-2P6
13;H1,H5,H4,H3,H2;MountingHole_4.3mm_M4_Pad_Via;5;MountingHole_Pad
14;R602,R601;R_2512_6332Metric_Pad1.40x3.35mm_HandSolder;2;10k
15;C401,C402;C_0805_2012Metric;2;15pF
16;C504,C503;C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;2;220nF
17;R202;R_2512_6332Metric_Pad1.40x3.35mm_HandSolder;1;20.5K
18;Y4;XTAL_ABS25-32.768KHZ-4-T;1;ABS25-32.768KHZ-4-T
19;JP6;PinHeader_1x03_P2.54mm_Vertical;1;SolderJumper_3_Open
20;U3;SSOP-28_5.3x10.2mm_P0.65mm;1;FT232RL
21;Y1;OSCCC320X250X90N;1;NX3225GA-16.000M-STD-CRG-2
22;C703;C_0805_2012Metric;1;1uF
23;J4;TerminalBlock_4Ucon_1x05_P3.50mm_Horizontal;1;Screw_Terminal_01x05
24;C106,C201;CP_Elec_4x5.4;2;4.7uF
25;R1,R2;R_2816_7142Metric_Pad3.20x4.45mm_HandSolder;2;100
26;R203;R_2512_6332Metric_Pad1.40x3.35mm_HandSolder;1;11.8K
27;IB2;SON95P300X300X100-7N;1;ST1L05BPUR
28;U6;DIP-8_W7.62mm;1;LM741
29;J5;TerminalBlock_4Ucon_1x10_P3.50mm_Horizontal;1;Screw_Terminal_01x10
30;R201;R_2512_6332Metric_Pad1.40x3.35mm_HandSolder;1;10K
31;C101;C_0805_2012Metric;1;4.7nF
32;R103,R102;R_2512_6332Metric_Pad1.40x3.35mm_HandSolder;2;27
33;U7;UFBGA-169_7x7mm_Layout13x13_P0.5mm;1;STM32L4R9AIIx
34;C203;CAPC2012X140N;1;TPSR106K006R1000
