Designator;Mid X;Mid Y;Layer;Rotation
C101;130.928;-47.962;T;180
C102;129.658;-52.534;T;-90
C103;129.658;-57.360;T;-90
C104;14.078.225;-48.164.250;T;90
C105;14.738.625;-48.230.250;T;90
C106;152.518;-48.724;T;0
C201;149.216;-61.424;T;0
C202;138.294;-60.650;T;90
C203;135.246;-60.650;T;90
C301;105.179;-68.065;T;90
C401;122.180;-73.750;T;180
C402;122.150;-76.680;T;180
C501;151.930;-127.715.216;T;90
C502;150.470;-104.544.785;T;-90
C503;144.880;-132.510;T;-90
C504;144.400;-11.375.750;T;90
C505;112.450;-123.880;T;180
C506;127.215.645;-118.252.000;T;0
C601;121.522.082;-80.744.998;T;90
C602;127.572.082;-80.774.998;T;90
C701;134.110;-79.900;T;90
C702;124.250;-89.380;T;90
C703;126.840;-89.380;T;90
C801;138.910;-79.930;T;90
C802;146.390;-82.830;T;0
C803;146.740;-89.910;T;0
C804;136.480;-79.910;T;90
C805;139.680;-94.814.142;T;-90
C806;143.560;-94.530;T;-90
C807;148.000;-97.620;T;-90
C808;134.042.700;-95.247.300;T;-90
C809;142.560;-79.072.071;T;90
C810;146.420;-86.030;T;0
D1;133.160;-126.030;T;0
D2;143.180;-119.380;T;180
FB101;144.084.250;-48.164.250;T;90
IB2;142.038.000;-61.170;T;-90
J1;164.730;-56.735;T;-90
J2;164.700;-111.575.000;T;-90
J3;110.510;-111.720;T;90
J4;108.640;-85.100;T;-90
J5;166.660;-70.420;T;-90
JP6;146.170;-55.074;T;90
JUSB1;136.262;-41.612;T;180
R1;136.510;-131.640;T;180
R2;136.510;-113.040;T;180
R101;124.324;-47.708;T;180
R102;124.324;-52.280;T;180
R103;124.324;-56.852;T;180
R201;138.294;-55.074;T;180
R202;139.310;-66.250;T;0
R203;139.310;-71.330;T;180
R601;125.330;-111.540;T;180
R602;128.338.224;-127.470;T;-90
R603;130.800;-99.610;T;90
R604;124.850;-99.700;T;90
R605;120.810;-99.650;T;-90
U1;136.516;-48.216;T;90
U3;112.210;-64.810;T;180
U6;124.508.224;-126.454;T;180
U7;139.700;-86.360;T;0
Y1;124.520.082;-80.692.998;T;90
Y4;128.770;-75.250;T;90
